,SEARCHVAL,X,Y,LATITUDE,LONGITUDE
122,52 CASSIA CRESCENT SINGAPORE 390052,33755.1844242364,32553.0518301129,1.31067221805457,103.88503171279
123,BOON LAY VISTA,14481.9178494867,36357.6069586352,1.34507676207703,103.711850425927
124,131 YISHUN STREET 11 SINGAPORE 760131,27818.1837678235,46097.3564713728,1.43316260592868,103.831684787748
125,12 BEDOK SOUTH AVENUE 2 SINGAPORE 460012,39527.6103045736,33706.6260427814,1.32110310080964,103.936900156912
126,ANG MO KIO 61,28992.3553434117,40138.798412133,1.37927553533411,103.842235624758
127,GOLDEN OAKS,38803.8093463602,35098.7757417858,1.33369345595931,103.930396926009
128,PEARL GARDEN,39641.5706253285,35186.2982802857,1.334484667124,103.937924710969
129,MOUNT FABER GREEN,26242.4802378444,29014.1195976399,1.27866784718784,103.81752660481
130,NATIONAL HEALTHCARE GROUP POLYCLINICS (YISHUN POLYCLINIC),28653.479144427,45787.2955139577,1.43035851992416,103.839190698939
131,THE BEO CRESCENT,27218.3447618317,30135.489553405,1.2888091628641,103.82629508593
132,EUNOS DAMAI VILLE,36263.8498208476,34896.8360478505,1.3318679857149,103.907573911026
133,DI TANJONG RHU,33516.5333587471,31599.0802900884,1.30204488252463,103.882887148325
134,GOMBAK GARDENS,19428.7369532008,36734.108137995,1.34848352110457,103.756300449103
135,625 CHOA CHU KANG STREET 62 SINGAPORE 680625,18286.4024838731,42279.1678862851,1.39863065232743,103.746034051085
136,PCF SPARKLETOTS PRESCHOOL @ BISHAN EAST-THOMSON BLK 313 (KN),28430.3131491393,37065.1768921874,1.35147881263426,103.837185216121
137,ANG MO KIO 22,29045.7150745867,38609.4830794428,1.36544495225352,103.842715047475
138,BRICKWORKS ESTATE,25071.0208552042,29950.2234928571,1.28713355463932,103.807000516738
139,FERN GROVE @ YISHUN,29088.9580046162,44657.2541440725,1.42013882092707,103.843103840166
140,FAJAR SPRING,21124.5471720491,40716.8497667443,1.38450243119902,103.771537431563
141,YISHUN GREENWALK,29071.8804147197,46208.6168879792,1.43416878511817,103.842950441024
142,GOLDEN LILY,42117.3392638369,38902.7845634688,1.36809411097208,103.960172610004
143,CHONG BOON RISE,30340.8828545492,38900.4769626576,1.36807652285135,103.854353042615
144,CHUAN VILLAGE,31756.0072547169,37413.4433699064,1.35462817749301,103.867068733428
145,15 LORONG 7 TOA PAYOH SINGAPORE 310015,30864.5793272182,35344.9808485061,1.33592183813398,103.859058481639
146,257 ANG MO KIO AVENUE 4 SINGAPORE 560257,28274.2005748805,39131.9655032828,1.37017011394308,103.835782464252
147,GHIM MOH EDGE,22550.7220498556,32404.4998349715,1.30932882169755,103.784354189521
148,SUNSHINE GARDENS,17536.1354731089,39884.508848032,1.3769739817533,103.739293156619
149,SKYTERRACE @ DAWSON,25604.7857305128,30819.194695197,1.2949922696335,103.8117965437
150,COMPASSVALE ANCILLA,34596.7536879685,40852.5059966203,1.38572932197005,103.892595434586
151,704 WEST COAST ROAD SINGAPORE 120704,19900.1954867067,32074.9054039977,1.30634750622019,103.760538027126
152,434 TAMPINES STREET 43 SINGAPORE 520434,41164.8123238701,37923.8950571865,1.3592418423449,103.951613078969
153,GOLDEN PALMS,27339.5986375511,45729.2726064064,1.42983378150608,103.827384256677
154,35 CIRCUIT ROAD SINGAPORE 370035,33864.0504919915,34597.2280478086,1.32915899694507,103.886010316123
155,GOLDEN WILLOWS,16614.0814916454,36639.1176706757,1.3476235248659,103.731009078651
156,TECK GHEE VISTA,29594.7067736601,38622.2519310527,1.36556040472259,103.847648115797
157,ANSAR GARDEN,38189.7463251725,34049.1683604904,1.32420140338849,103.9248788773
158,YISHUN SPRING,29422.4479553634,44794.3642965462,1.42137878090937,103.84610055242
159,WOODLANDS PEAK,21542.7407131689,45952.9146262743,1.43185558749484,103.775294044439
160,EASTBROOK @ CANBERRA,27898.7975179693,47832.6140756272,1.44885564679911,103.832409172149
161,HOUGANG VIEW,34509.7677402832,38426.5214415658,1.36378961600309,103.891813266061
162,GOLDEN LAVENDER,12817.2599843042,36116.3552982528,1.34289417856781,103.696892615091
