POSTAL,LATITUDE,LONGITUDE
599508,1.324253025,103.7734704
669933,1.357506801,103.7592327
127816,1.314843021,103.7557478
677739,1.382433919,103.7608682
629115,1.324768791,103.6744847
689580,1.396842721,103.7467399
718877,1.444970927,103.7147793
658251,1.368393609,103.752143
138497,1.291871896,103.7937006
276693,1.316579463,103.7784316
118600,1.280474429,103.7847331
627833,1.281586525,103.678615
127736,1.312907711,103.7578555
629500,1.315083362,103.6639676
640911,1.341818371,103.6868369
658437,1.369526131,103.7520274
119609,1.291608687,103.7734664
279622,1.311173274,103.786687
128984,1.32316796,103.7552875
639701,1.346425501,103.6846788
266329,1.323573565,103.7993344
276130,1.325410957,103.7847675
278744,1.310230891,103.8002777
599078,1.333892906,103.7681946
636790,1.270127953,103.6284994
117477,1.288499352,103.7770202
589841,1.338532161,103.787644
648336,1.338957813,103.7049922
288789,1.33325757,103.8018775
127969,1.316209458,103.7568754
278799,1.31742998,103.7834234
599781,1.334632057,103.7708831
658385,1.370107824,103.7524773
658383,1.370104941,103.752421
658346,1.369708247,103.7514054
658365,1.370076922,103.7518922
279426,1.324659453,103.7870099
669448,1.354232352,103.759068
287195,1.331268598,103.8098335
129459,1.318570558,103.7578117
288453,1.326726978,103.8106887
596493,1.33734834,103.7706403
596514,1.337025175,103.7723742
739487,1.435666569,103.7542611
597966,1.343403403,103.7730037
658236,1.368052143,103.7525309
658248,1.368037196,103.7522078
658242,1.368044622,103.7523682
588824,1.338203665,103.7864027
588735,1.336210506,103.7874533
641638,1.34195861,103.6975931
599074,1.334132239,103.7681482
269798,1.319885523,103.7966014
638151,1.339549989,103.6910959
588948,1.340164957,103.7800408
128756,1.308194673,103.7645305
739661,1.417250413,103.7592993
596338,1.342816489,103.7745993
289901,1.32808517,103.8125668
668666,1.357947867,103.7609122
276202,1.312439042,103.7821573
276364,1.310745363,103.7987541
679642,1.371890961,103.7669835
688282,1.390864025,103.7521159
287998,1.335358256,103.7955934
658367,1.370079693,103.7519436
266269,1.321205586,103.7915939
268475,1.321201933,103.7916494
650126,1.351923241,103.746722
678357,1.358527975,103.7685258
611150,1.326753463,103.7221612
128533,1.305787478,103.765213
117844,1.277714549,103.7897104
658777,1.339784124,103.7613988
287736,1.327784909,103.8088888
596286,1.335529912,103.7710011
648844,1.350751353,103.7001704
118701,1.28972694,103.7745439
267164,1.3231249,103.7981443
669106,1.359262414,103.7576024
650466,1.357102178,103.7427435
141094,1.296274834,103.8112064
276678,1.32407858,103.7929447
269053,1.32467414,103.8023026
640187,1.345057736,103.7106998
128989,1.32297899,103.7548045
120454,1.312269291,103.7664304
120462,1.31109876,103.7659064
120459,1.311389416,103.7670932
287981,1.339684188,103.7924665
598846,1.340740056,103.7653066
670229,1.375262988,103.7716565
689668,1.386838574,103.7447817
128146,1.308587492,103.7629536
289042,1.334734583,103.8080818
279018,1.314599353,103.7842213
119521,1.27960383,103.7929723
588197,1.352740986,103.7676268
127921,1.316367859,103.7564563
628880,1.331064908,103.6894567
588644,1.343800141,103.7879507
600414,1.320083142,103.7472473
278463,1.308376834,103.799145
598318,1.332333735,103.7788049
688573,1.391304261,103.7511437
288622,1.332480059,103.803028
129543,1.317982878,103.7592151
677737,1.387822833,103.7601288
286912,1.337878147,103.8056866
286911,1.337870679,103.8056411
669112,1.359024126,103.7573808
729330,1.41021231,103.7518922
599906,1.336571736,103.7732564
637543,1.29778121,103.6317549
638930,1.320399986,103.6413668
619706,1.335776756,103.7175895
638953,1.318721363,103.6458396
267379,1.324753866,103.79449
688692,1.391235903,103.752677
275960,1.326201153,103.7911207
658646,1.370623939,103.7514655
678831,1.3609875,103.7678511
739883,1.41533476,103.7594246
598618,1.34194727,103.7712802
127392,1.311400917,103.7580668
126826,1.294645419,103.7671676
127335,1.294203479,103.768414
278903,1.313592888,103.779095
698992,1.39569676,103.7298684
588036,1.337364427,103.783656
688497,1.392409686,103.7505892
268790,1.32825733,103.7953969
286861,1.336762804,103.8061492
286853,1.33633427,103.8062157
266091,1.321246015,103.8022043
278569,1.312135221,103.799011
640552,1.352752905,103.7177634
640554,1.353234801,103.7178661
628382,1.299092309,103.6647818
278003,1.31095891,103.7973523
640910,1.342055197,103.6862886
677994,1.39803853,103.7545757
128466,1.305564229,103.7592759
288479,1.327504937,103.8098641
596490,1.338031819,103.7706271
286992,1.336690734,103.8051401
278483,1.308508107,103.798027
278487,1.308590525,103.7979387
279363,1.319658497,103.7869548
608974,1.30398353,103.741073
